No Urut,Peruntukan,Nama Persyaratan,Keterangan,Tipe File
7,PBG Rumah Tinggal Pengembang,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Rumah Tinggal Pengembang,Rekomendasi Cagar Budaya apabila bangunan merupakan bangunan cagar budaya/berada dikawasan cagar budaya,,pdf
9,PBG Rumah Tinggal Pengembang,"Gambar format CAD bangunan sekurang-kurangnya gambar denah dan jika diperlukan dapat ditambahkan gambar situasi, gambar tampak, gambar atap, dan gambar potongan",,dwg
10,PBG Rumah Tinggal Pengembang,"Berita acara serah terima prasarana, sarana, dan utilitas",,pdf
11,PBG Rumah Tinggal Pengembang,Rekomendasi dokumen lingkungan,sesuai dengan ketentuan yang berlaku;,pdf
12,PBG Rumah Tinggal Pengembang,Rekomendasi drainase,sesuai dengan ketentuan yang berlaku;,pdf
13,PBG Rumah Tinggal Pengembang,Rekomendasi lalu lintas,sesuai dengan ketentuan yang berlaku;,pdf
1,PBG Non Rumah Tinggal Usaha Mikro,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Non Rumah Tinggal Usaha Mikro,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Non Rumah Tinggal Usaha Mikro,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Non Rumah Tinggal Usaha Mikro,SPTJM PBG,,pdf
